index,value,name,co,max_aqi,min_aqi,no2,o3,pm10,pm2_5,type,rank,so2,date
554,88,天津,1.243,165,40,42,125,83,52,良,242.6,15,2016/9/1
618,76,广州,0.903,201,38,41,107,57,36,良,193.8,12,2016/9/1
623,80,成都,1.02,120,47,49,106,69,45,良,232.4333,13,2016/9/1
688,75,杭州,0.697,141,27,30,118,50,33,良,200.9667,10,2016/9/1
748,94,武汉,0.807,163,34,45,145,99,45,良,270.9,12,2016/9/1
834,41,海口,0.613,61,15,17,72,37,20,优,74.7,6,2016/9/1
878,64,深圳,0.783,134,35,30,102,42,27,良,170.4333,8,2016/9/1
932,91,西安,1.217,130,47,56,112,104,53,良,272.9667,14,2016/9/1
61,51,上海,0.632,72,29,33,87,37,22,良,144.3548,12,2016/10/1
73,65,乌鲁木齐,1.055,119,27,44,41,68,43,良,215.9032,12,2016/10/1
140,116,北京,1.155,292,29,56,47,101,85,轻度污染,278.9355,4,2016/10/1
215,56,南京,1.019,109,33,39,74,47,25,良,165.2903,11,2016/10/1
253,59,南宁,0.852,94,29,32,91,62,36,良,186.4839,15,2016/10/1
312,45,厦门,0.535,90,29,27,73,40,21,优,104.5161,10,2016/10/1
402,59,合肥,0.842,99,29,42,54,53,34,良,187.2581,11,2016/10/1
485,71,呼和浩特,1.023,101,35,52,73,89,37,良,243.4516,20,2016/10/1
553,91,天津,1.426,225,40,51,65,90,64,良,263.8387,18,2016/10/1
590,51,广州,0.89,85,33,35,79,48,30,良,143.6129,11,2016/10/1
624,75,成都,1.068,126,40,48,65,81,47,良,234,13,2016/10/1
692,60,杭州,0.797,87,38,45,65,54,32,良,202.3226,12,2016/10/1
749,60,武汉,1.058,113,32,41,56,59,35,良,179.0968,8,2016/10/1
812,43,海口,0.61,69,22,13,80,38,23,优,96.2903,7,2016/10/1
877,46,深圳,0.771,68,23,27,82,38,24,优,114.3548,6,2016/10/1
933,79,西安,1.355,153,39,51,55,98,53,良,252.2903,12,2016/10/1
59,78,上海,0.867,144,37,58,69,62,44,良,188.1,16,2016/11/1
68,105,乌鲁木齐,1.787,253,40,56,31,110,75,轻度污染,229.1667,14,2016/11/1
133,133,北京,1.797,315,28,68,28,134,100,轻度污染,254,11,2016/11/1
